DL,UL,Timestamp,content,A,B,C,D
0,6113.3394,61,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m33s171ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
4512.7124,5535.051,62,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m37s173ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
7198.1885,5910.4434,63,"Location[gps 40.135546,-88.219542 acc=9 et=+18h1m41s203ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
4560.084,6086.0884,64,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m45s199ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
7036.654,5309.5483,65,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m49s172ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
4900.306,5777.063,66,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m53s174ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6056.793,4598.7324,67,"Location[gps 40.135547,-88.219542 acc=9 et=+18h1m57s169ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6878.529,5232.037,68,"Location[gps 40.135580,-88.219547 acc=10 et=+18h2m1s169ms alt=197.0 vel=2.25 bear=348.5 {Bundle[mParcelledData.dataSize=40]}]",10,197,2.25,348.5
5795.62,4728.16,69,"Location[gps 40.135713,-88.219676 acc=12 et=+18h2m5s169ms alt=197.0 vel=4.25 bear=307.4 {Bundle[mParcelledData.dataSize=40]}]",12,197,4.25,307.4
7477.7563,5463.331,70,"Location[gps 40.135576,-88.220519 acc=10 et=+18h2m9s169ms alt=196.0 vel=15.5 bear=250.9 {Bundle[mParcelledData.dataSize=40]}]",10,196,15.5,250.9
3926.0063,4909.514,71,"Location[gps 40.135433,-88.221303 acc=11 et=+18h2m13s169ms alt=194.0 vel=18.0 bear=251.6 {Bundle[mParcelledData.dataSize=40]}]",11,194,18,251.6
7293.889,6086.0884,72,"Location[gps 40.135237,-88.222235 acc=10 et=+18h2m17s169ms alt=195.0 vel=22.0 bear=253.7 {Bundle[mParcelledData.dataSize=40]}]",10,195,22,253.7
3804.9236,5680.9116,73,"Location[gps 40.135127,-88.223333 acc=10 et=+18h2m21s170ms alt=195.0 vel=23.75 bear=265.1 {Bundle[mParcelledData.dataSize=40]}]",10,195,23.75,265.1
2067.7168,5224.41,74,"Location[gps 40.135075,-88.224548 acc=11 et=+18h2m25s170ms alt=196.0 vel=26.5 bear=266.9 {Bundle[mParcelledData.dataSize=40]}]",11,196,26.5,266.9
6597.83,5572.704,75,"Location[gps 40.135052,-88.225939 acc=10 et=+18h2m29s169ms alt=196.0 vel=31.5 bear=268.6 {Bundle[mParcelledData.dataSize=40]}]",10,196,31.5,268.6
7380.891,5696.7144,76,"Location[gps 40.135043,-88.227439 acc=10 et=+18h2m33s168ms alt=197.0 vel=31.25 bear=269.4 {Bundle[mParcelledData.dataSize=40]}]",10,197,31.25,269.4
6752.781,5785.2227,77,"Location[gps 40.135062,-88.228891 acc=9 et=+18h2m37s190ms alt=197.0 vel=31.25 bear=269.6 {Bundle[mParcelledData.dataSize=40]}]",9,197,31.25,269.6
7080.279,5760.812,78,"Location[gps 40.135057,-88.230391 acc=9 et=+18h2m41s194ms alt=193.0 vel=31.0 bear=269.5 {Bundle[mParcelledData.dataSize=40]}]",9,193,31,269.5
5857.5796,6262.9014,79,"Location[gps 40.135038,-88.231841 acc=9 et=+18h2m45s169ms alt=194.0 vel=31.25 bear=269.3 {Bundle[mParcelledData.dataSize=40]}]",9,194,31.25,269.3
6215.3936,6168.5806,80,"Location[gps 40.135018,-88.233378 acc=10 et=+18h2m49s171ms alt=193.0 vel=32.5 bear=269.2 {Bundle[mParcelledData.dataSize=40]}]",10,193,32.5,269.2
5418.351,4747.9956,81,"Location[gps 40.134989,-88.234877 acc=11 et=+18h2m53s183ms alt=198.0 vel=32.5 bear=269.0 {Bundle[mParcelledData.dataSize=40]}]",11,198,32.5,269
5210.785,5430.2197,82,"Location[gps 40.134963,-88.236328 acc=11 et=+18h2m57s170ms alt=196.0 vel=31.5 bear=269.1 {Bundle[mParcelledData.dataSize=40]}]",11,196,31.5,269.1
1510.2723,4112.387,83,"Location[gps 40.134979,-88.237766 acc=13 et=+18h3m1s183ms alt=196.0 vel=31.25 bear=270.2 {Bundle[mParcelledData.dataSize=40]}]",13,196,31.25,270.2
1182.8969,4401.079,84,"Location[gps 40.134954,-88.239162 acc=12 et=+18h3m5s169ms alt=195.0 vel=30.0 bear=268.8 {Bundle[mParcelledData.dataSize=40]}]",12,195,30,268.8
2356.7947,6228.615,85,"Location[gps 40.134925,-88.240605 acc=11 et=+18h3m9s169ms alt=197.0 vel=30.25 bear=269.2 {Bundle[mParcelledData.dataSize=40]}]",11,197,30.25,269.2
2938.6626,4491.1597,86,"Location[gps 40.134920,-88.242078 acc=10 et=+18h3m13s169ms alt=198.0 vel=30.75 bear=269.7 {Bundle[mParcelledData.dataSize=40]}]",10,198,30.75,269.7
0,4711.5845,87,"Location[gps 40.134912,-88.243494 acc=10 et=+18h3m17s190ms alt=198.0 vel=30.75 bear=269.2 {Bundle[mParcelledData.dataSize=40]}]",10,198,30.75,269.2
0,4591.858,88,"Location[gps 40.134892,-88.244943 acc=11 et=+18h3m21s179ms alt=202.0 vel=31.0 bear=268.8 {Bundle[mParcelledData.dataSize=40]}]",11,202,31,268.8
3154.6028,4439.239,89,"Location[gps 40.134886,-88.246402 acc=10 et=+18h3m25s181ms alt=199.0 vel=31.0 bear=268.7 {Bundle[mParcelledData.dataSize=40]}]",10,199,31,268.7
3180.002,3781.3308,90,"Location[gps 40.134860,-88.247889 acc=10 et=+18h3m29s169ms alt=199.0 vel=31.0 bear=269.2 {Bundle[mParcelledData.dataSize=40]}]",10,199,31,269.2
3673.0286,5247.3574,91,"Location[gps 40.134842,-88.249316 acc=10 et=+18h3m33s169ms alt=199.0 vel=31.0 bear=269.0 {Bundle[mParcelledData.dataSize=40]}]",10,199,31,269
7163.539,5422.005,92,"Location[gps 40.134832,-88.250792 acc=11 et=+18h3m37s176ms alt=200.0 vel=31.0 bear=269.0 {Bundle[mParcelledData.dataSize=40]}]",11,200,31,269
6789.4966,5471.6724,93,"Location[gps 40.134826,-88.252236 acc=11 et=+18h3m41s169ms alt=198.0 vel=31.25 bear=269.8 {Bundle[mParcelledData.dataSize=40]}]",11,198,31.25,269.8
7912.9893,5988.2124,94,"Location[gps 40.134843,-88.253700 acc=10 et=+18h3m45s177ms alt=198.0 vel=31.0 bear=271.4 {Bundle[mParcelledData.dataSize=40]}]",10,198,31,271.4
7835.4917,4524.2314,95,"Location[gps 40.134904,-88.255147 acc=11 et=+18h3m49s178ms alt=197.0 vel=31.75 bear=273.7 {Bundle[mParcelledData.dataSize=40]}]",11,197,31.75,273.7
8081.6187,4571.359,96,"Location[gps 40.134970,-88.256529 acc=13 et=+18h3m53s170ms alt=198.0 vel=30.25 bear=273.6 {Bundle[mParcelledData.dataSize=40]}]",13,198,30.25,273.6
7698.952,7999.878,97,"Location[gps 40.135093,-88.258084 acc=10 et=+18h3m57s168ms alt=197.0 vel=31.5 bear=276.0 {Bundle[mParcelledData.dataSize=40]}]",10,197,31.5,276
4003.4585,4445.663,98,"Location[gps 40.135247,-88.259623 acc=13 et=+18h4m1s169ms alt=196.0 vel=32.0 bear=278.4 {Bundle[mParcelledData.dataSize=40]}]",13,196,32,278.4
2456.1956,3710.0884,99,"Location[gps 40.135487,-88.261109 acc=11 et=+18h4m5s168ms alt=198.0 vel=31.75 bear=281.2 {Bundle[mParcelledData.dataSize=40]}]",11,198,31.75,281.2
733.4366,5413.8145,100,"Location[gps 40.135725,-88.262593 acc=12 et=+18h4m9s169ms alt=199.0 vel=31.75 bear=282.6 {Bundle[mParcelledData.dataSize=40]}]",12,199,31.75,282.6
5268.4307,4530.9043,101,"Location[gps 40.136066,-88.264009 acc=11 et=+18h4m13s168ms alt=199.0 vel=31.75 bear=286.2 {Bundle[mParcelledData.dataSize=40]}]",11,199,31.75,286.2
2688.3054,3720.8733,102,"Location[gps 40.136799,-88.267155 acc=12 et=+18h4m22s168ms alt=196.0 vel=31.0 bear=288.2 {Bundle[mParcelledData.dataSize=40]}]",12,196,31,288.2
2826.2864,5247.3574,103,"Location[gps 40.136799,-88.267155 acc=12 et=+18h4m22s168ms alt=196.0 vel=31.0 bear=288.2 {Bundle[mParcelledData.dataSize=40]}]",12,196,31,288.2
2387.7493,3565.4053,104,"Location[gps 40.137257,-88.269191 acc=14 et=+18h4m28s181ms alt=191.0 vel=29.75 bear=286.3 {Bundle[mParcelledData.dataSize=40]}]",14,191,29.75,286.3
